"","Marker","CellType"
"1","IGHG1","B"
"2","IGKC","B"
"3","IGHG4","B"
"4","DERL3","B"
"5","IGHM","B"
"6","FCRL5","B"
"7","MZB1","B"
"8","POU2AF1","B"
"9","CD79A","B"
"10","RAMP2","Endothelial"
"11","CD34","Endothelial"
"12","PLVAP","Endothelial"
"13","ADGRL4","Endothelial"
"14","SOX18","Endothelial"
"15","PTPRB","Endothelial"
"16","CALCRL","Endothelial"
"17","HSPG2","Endothelial"
"18","LDB2","Endothelial"
"19","IL3RA","Endothelial"
"20","GNG11","Endothelial"
"21","AGR2","Epithelial"
"22","SPDEF","Epithelial"
"23","KRT19","Epithelial"
"24","S100A14","Epithelial"
"25","FOXA1","Epithelial"
"26","FXYD3","Epithelial"
"27","CAPN13","Epithelial"
"28","ERBB2","Epithelial"
"29","KRT7","Epithelial"
"30","TSPAN1","Epithelial"
"31","CD24","Epithelial"
"32","ERBB3","Epithelial"
"33","EPCAM","Epithelial"
"34","CLDN4","Epithelial"
"35","GRB7","Epithelial"
"36","CDH1","Epithelial"
"37","KRT18","Epithelial"
"38","PGR","Epithelial"
"39","CD44","Epithelial"
"40","ALDH1A3","Epithelial"
"41","COL1A1","Fibroblast"
"42","COL1A2","Fibroblast"
"43","LUM","Fibroblast"
"44","COL3A1","Fibroblast"
"45","DCN","Fibroblast"
"46","SULF1","Fibroblast"
"47","TAGLN","Fibroblast"
"48","CDH11","Fibroblast"
"49","ACTA2","Fibroblast"
"50","TPM2","Fibroblast"
"51","MMP11","Fibroblast"
"52","BGN","Fibroblast"
"53","CSRP2","Fibroblast"
"54","THY1","Fibroblast"
"55","FAP","Fibroblast"
"56","TIMP1","Fibroblast"
"57","MYLK","Fibroblast"
"58","FN1","Fibroblast"
"59","SNAI2","Fibroblast"
"60","COL4A2","Fibroblast"
"61","COL4A1","Fibroblast"
"62","MYL9","Fibroblast"
"63","BICC1","Hepatocytes"
"64","AR","Hepatocytes"
"65","EGFR","Hepatocytes"
"66","GPNMB","Macrophage"
"67","C1QB","Macrophage"
"68","C1QA","Macrophage"
"69","APOE","Macrophage"
"70","CD163","Macrophage"
"71","MSR1","Macrophage"
"72","APOC1","Macrophage"
"73","CD68","Macrophage"
"74","LGMN","Macrophage"
"75","HLA-DRA","Macrophage"
"76","FCN1","Monocyte"
"77","GNLY","NK"
"78","TRDC","NK"
"79","GZMB","NK"
"80","NKG7","NK"
"81","CD3D","T"
"82","CD3G","T"
"83","IL7R","T"
"84","TRAC","T"
"85","CD3E","T"
"86","CD2","T"
"87","IL32","T"
"88","FOXP3","T"
"89","CD4","T"
"90","CD8A","T"
