"","Marker","CellType"
"1","IGHM","B"
"2","CD79A","B"
"3","TCL1A","B"
"4","IGKC","B"
"5","BANK1","B"
"6","MS4A1","B"
"7","CD79B","B"
"8","IGHG1","B"
"9","IGHG4","B"
"10","CD34","Endothelial"
"11","PLVAP","Endothelial"
"12","ADGRL4","Endothelial"
"13","PTPRB","Endothelial"
"14","HSPG2","Endothelial"
"15","RAMP2","Endothelial"
"16","SOX18","Endothelial"
"17","CALCRL","Endothelial"
"18","GNG11","Endothelial"
"19","AGR2","Epithelial"
"20","FXYD3","Epithelial"
"21","KRT19","Epithelial"
"22","KRT8","Epithelial"
"23","KRT7","Epithelial"
"24","ERBB2","Epithelial"
"25","S100A14","Epithelial"
"26","TSPAN1","Epithelial"
"27","CLDN4","Epithelial"
"28","CRABP2","Epithelial"
"29","EPCAM","Epithelial"
"30","SPDEF","Epithelial"
"31","SDC1","Epithelial"
"32","GRB7","Epithelial"
"33","CD24","Epithelial"
"34","AZGP1","Epithelial"
"35","TFF3","Epithelial"
"36","GPR160","Epithelial"
"37","KRT18","Epithelial"
"38","EGFR","Epithelial"
"39","PGR","Epithelial"
"40","CD44","Epithelial"
"41","ALDH1A3","Epithelial"
"42","CDH1","Epithelial"
"43","ACTA2","Fibroblast"
"44","COL1A1","Fibroblast"
"45","COL1A2","Fibroblast"
"46","LUM","Fibroblast"
"47","TAGLN","Fibroblast"
"48","DCN","Fibroblast"
"49","COL3A1","Fibroblast"
"50","MYL9","Fibroblast"
"51","TPM2","Fibroblast"
"52","THY1","Fibroblast"
"53","MYLK","Fibroblast"
"54","CSRP2","Fibroblast"
"55","BGN","Fibroblast"
"56","SULF1","Fibroblast"
"57","C1QB","Macrophage"
"58","CD68","Macrophage"
"59","HLA-DRA","Macrophage"
"60","S100A9","Monocyte"
"61","S100A8","Monocyte"
"62","FCN1","Monocyte"
"63","CD40LG","T"
"64","IL7R","T"
"65","CD3D","T"
"66","TRAC","T"
"67","CD3G","T"
"68","FOXP3","T"
"69","CD4","T"
"70","CD8A","T"
"71","CD3E","T"
