"","Marker","CellType"
"1","IGHG1","B"
"2","IGHG4","B"
"3","IGKC","B"
"4","IGHM","B"
"5","ADGRL4","Endothelial"
"6","PTPRB","Endothelial"
"7","PLVAP","Endothelial"
"8","CALCRL","Endothelial"
"9","RAMP2","Endothelial"
"10","CD34","Endothelial"
"11","GNG11","Endothelial"
"12","LDB2","Endothelial"
"13","SOX18","Endothelial"
"14","COBL","Epithelial"
"15","FGFR2","Epithelial"
"16","MYO5B","Epithelial"
"17","EGFR","Epithelial"
"18","GRB7","Epithelial"
"19","ERBB2","Epithelial"
"20","PGR","Epithelial"
"21","CD44","Epithelial"
"22","CD24","Epithelial"
"23","ALDH1A3","Epithelial"
"24","EPCAM","Epithelial"
"25","KRT19","Epithelial"
"26","KRT18","Epithelial"
"27","CDH1","Epithelial"
"28","DCN","Fibroblast"
"29","IGFBP5","Fibroblast"
"30","LUM","Fibroblast"
"31","CD163","Macrophage"
"32","TFEC","Macrophage"
"33","MSR1","Macrophage"
"34","C1QA","Macrophage"
"35","LYZ","Macrophage"
"36","APOC1","Macrophage"
"37","SPP1","Macrophage"
"38","FCGR3A","Macrophage"
"39","APOE","Macrophage"
"40","CD68","Macrophage"
"41","HLA-DRA","Macrophage"
"42","MMP11","Smooth muscle"
"43","SULF1","Smooth muscle"
"44","CD2","T"
"45","THEMIS","T"
"46","CD96","T"
"47","SKAP1","T"
"48","CD3G","T"
"49","FOXP3","T"
"50","CD4","T"
"51","CD8A","T"
"52","CD3D","T"
"53","CD3E","T"
