"","Marker","CellType"
"1","IGHG1","B"
"2","IGHG4","B"
"3","POU2AF1","B"
"4","FCRL5","B"
"5","CD79A","B"
"6","CD38","B"
"7","DERL3","B"
"8","IGKC","B"
"9","IGHM","B"
"10","PLVAP","Endothelial"
"11","ADGRL4","Endothelial"
"12","SOX18","Endothelial"
"13","CD34","Endothelial"
"14","HSPG2","Endothelial"
"15","PECAM1","Endothelial"
"16","PTPRB","Endothelial"
"17","CALCRL","Endothelial"
"18","LDB2","Endothelial"
"19","CD24","Epithelial"
"20","TFF3","Epithelial"
"21","TSPAN1","Epithelial"
"22","AZGP1","Epithelial"
"23","EPCAM","Epithelial"
"24","KRT19","Epithelial"
"25","FXYD3","Epithelial"
"26","AGR2","Epithelial"
"27","CLDN4","Epithelial"
"28","EGFR","Epithelial"
"29","GRB7","Epithelial"
"30","ERBB2","Epithelial"
"31","PGR","Epithelial"
"32","CD44","Epithelial"
"33","ALDH1A3","Epithelial"
"34","KRT18","Epithelial"
"35","CDH1","Epithelial"
"36","DCN","Fibroblast"
"37","ACTA2","Fibroblast"
"38","TAGLN","Fibroblast"
"39","TPM2","Fibroblast"
"40","COL1A2","Fibroblast"
"41","MYLK","Fibroblast"
"42","COL3A1","Fibroblast"
"43","COL1A1","Fibroblast"
"44","MYL9","Fibroblast"
"45","SULF1","Fibroblast"
"46","HLA-DRA","Macrophage"
"47","C1QB","Macrophage"
"48","C1QA","Macrophage"
"49","MSR1","Macrophage"
"50","AIF1","Macrophage"
"51","CCL3","Macrophage"
"52","LYZ","Macrophage"
"53","LST1","Macrophage"
"54","SPP1","Macrophage"
"55","CD68","Macrophage"
"56","FCGR3A","Macrophage"
"57","APOC1","Macrophage"
"58","CD74","Macrophage"
"59","HLA-DPA1","Macrophage"
"60","HLA-DRB1","Macrophage"
"61","CD163","Macrophage"
"62","APOE","Macrophage"
"63","CD14","Macrophage"
"64","S100A9","Macrophage"
"65","CD2","T"
"66","CD3E","T"
"67","CD3D","T"
"68","CCL5","T"
"69","NKG7","T"
"70","GNLY","T"
"71","TRAC","T"
"72","CD3G","T"
"73","FOXP3","T"
"74","CD4","T"
"75","CD8A","T"
