"","Marker","CellType"
"1","IGHG1","B"
"2","IGHG4","B"
"3","IGKC","B"
"4","IGHM","B"
"5","ADGRL4","Endothelial"
"6","PLVAP","Endothelial"
"7","CD34","Endothelial"
"8","SOX18","Endothelial"
"9","CALCRL","Endothelial"
"10","PTPRB","Endothelial"
"11","GNG11","Endothelial"
"12","PECAM1","Endothelial"
"13","LDB2","Endothelial"
"14","THY1","Endothelial"
"15","CD40","Endothelial"
"16","ZEB1","Endothelial"
"17","VIM","Endothelial"
"18","HSPG2","Endothelial"
"19","NOTCH1","Endothelial"
"20","TCF4","Endothelial"
"21","GATA3","Epithelial"
"22","TFF3","Epithelial"
"23","AGR2","Epithelial"
"24","CD24","Epithelial"
"25","GRB7","Epithelial"
"26","ERBB2","Epithelial"
"27","PGR","Epithelial"
"28","CD44","Epithelial"
"29","ALDH1A3","Epithelial"
"30","EPCAM","Epithelial"
"31","KRT19","Epithelial"
"32","KRT18","Epithelial"
"33","CDH1","Epithelial"
"34","EGFR","Hepatocytes"
"35","APOC1","Hepatocytes"
"36","FGFR2","Hepatocytes"
"37","IL32","Hepatocytes"
"38","CD14","Hepatocytes"
"39","SLPI","Hepatocytes"
"40","BICC1","Hepatocytes"
"41","MSR1","Macrophage"
"42","C1QA","Macrophage"
"43","C1QB","Macrophage"
"44","ITGAX","Macrophage"
"45","SPP1","Macrophage"
"46","PLEK","Macrophage"
"47","GPNMB","Macrophage"
"48","TFEC","Macrophage"
"49","CD68","Macrophage"
"50","LYZ","Macrophage"
"51","HIF1A","Macrophage"
"52","CD74","Macrophage"
"53","HLA-DRA","Macrophage"
"54","COL1A1","Smooth muscle"
"55","DCN","Smooth muscle"
"56","LUM","Smooth muscle"
"57","SULF1","Smooth muscle"
"58","ACTA2","Smooth muscle"
"59","FAP","Smooth muscle"
"60","COL3A1","Smooth muscle"
"61","COL1A2","Smooth muscle"
"62","MMP11","Smooth muscle"
"63","FAT1","Smooth muscle"
"64","BGN","Smooth muscle"
"65","CDH11","Smooth muscle"
"66","TAGLN","Smooth muscle"
"67","CD4","T"
"68","IL7R","T"
"69","CD2","T"
"70","THEMIS","T"
"71","CD96","T"
"72","CCL5","T"
"73","CD3G","T"
"74","FOXP3","T"
"75","CD8A","T"
"76","CD3D","T"
"77","CD3E","T"
